test_id,left_pwm,right_pwm,linvel_cmd,turnrate_cmd,sample_count,vel_left_mean,vel_right_mean,vel_mean,enc_left_start,enc_left_end,enc_left_delta,enc_right_start,enc_right_end,enc_right_delta,bat_v_mean,bat_v_min,bat_v_max,t_start,t_end
0,-4096.0,-4096.0,-1.0,0.0,76,-0.9957499999999999,-0.9876052631578947,-0.9916776315789473,nan,nan,nan,nan,nan,nan,11.159605263157895,11.12,11.19,1773242384.1982,1773242385.398
1,-3072.0,-3072.0,-0.75,0.0,76,-0.7502105263157894,-0.7506578947368421,-0.7504342105263158,nan,nan,nan,nan,nan,nan,11.203552631578948,11.05,11.22,1773242385.9035,1773242387.1024
2,-2048.0,-2048.0,-0.5,0.0,75,-0.50396,-0.49810666666666664,-0.5010333333333333,nan,nan,nan,nan,nan,nan,11.244266666666668,11.24,11.25,1773242387.6145,1773242388.8081
3,-1024.0,-1024.0,-0.25,0.0,76,-0.2524736842105263,-0.24813157894736843,-0.2503026315789474,nan,nan,nan,nan,nan,nan,11.262894736842105,11.24,11.27,1773242389.3205,1773242390.512
4,1024.0,1024.0,0.25,0.0,76,0.249,0.2518684210526316,0.2504342105263158,nan,nan,nan,nan,nan,nan,11.23,11.23,11.23,1773242391.0167,1773242392.2167
5,2048.0,2048.0,0.5,0.0,76,0.5020131578947368,0.4987763157894736,0.5003947368421052,nan,nan,nan,nan,nan,nan,11.211842105263159,11.2,11.23,1773242392.7215,1773242393.9213
6,3072.0,3072.0,0.75,0.0,76,0.7468289473684211,0.7480394736842105,0.7474342105263158,nan,nan,nan,nan,nan,nan,11.199473684210528,10.83,11.22,1773242394.4263,1773242395.6265
7,4096.0,4096.0,1.0,0.0,76,0.9970263157894736,-1.738657894736842,-0.3708157894736842,nan,nan,nan,nan,nan,nan,11.037105263157894,10.94,11.12,1773242396.1306,1773242397.3315
